YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
1993,ALL-ROOKIE,1,297,Alonzo Mourning,1.0
1993,ALL-ROOKIE,1,406,Shaquille O'Neal,1.0
1993,ALL-ROOKIE,1,363,Christian Laettner,0.923
1993,ALL-ROOKIE,1,339,Tom Gugliotta,0.885
1993,ALL-ROOKIE,1,111,LaPhonso Ellis,0.769
1993,ALL-ROOKIE,2,1005,Walt Williams,0.577
1993,ALL-ROOKIE,2,84,Latrell Sprewell,0.538
1993,ALL-ROOKIE,2,109,Robert Horry,0.538
1993,ALL-ROOKIE,2,221,Clarence Weatherspoon,0.5
1993,ALL-ROOKIE,2,30,Richard Dumas,0.404
1993,ALL-ROOKIE,1000,114,Harold Miner,0.173
1993,ALL-ROOKIE,1000,324,Anthony Peeler,0.173
1993,ALL-ROOKIE,1000,103,Todd Day,0.096
1993,ALL-ROOKIE,1000,754,Jim Jackson,0.058
1993,ALL-ROOKIE,1000,228,Adam Keefe,0.038
1993,ALL-ROOKIE,1000,399,Sean Rooks,0.038
1993,ALL-ROOKIE,1000,138,Anthony Avent,0.019
1993,ALL-ROOKIE,1000,57,Doug Christie,0.019
1993,ALL-ROOKIE,1000,1380,Lloyd Daniels,0.019
1993,ALL-ROOKIE,1000,179,Bryant Stith,0.019
