YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
1999,ALL-NBA,1,252,Karl Malone,0.983
1999,ALL-NBA,1,1495,Tim Duncan,0.976
1999,ALL-NBA,1,297,Alonzo Mourning,0.919
1999,ALL-NBA,1,947,Allen Iverson,0.902
1999,ALL-NBA,1,467,Jason Kidd,0.875
1999,ALL-NBA,2,56,Gary Payton,0.746
1999,ALL-NBA,2,406,Shaquille O'Neal,0.647
1999,ALL-NBA,2,185,Chris Webber,0.471
1999,ALL-NBA,2,255,Grant Hill,0.446
1999,ALL-NBA,2,896,Tim Hardaway,0.285
1999,ALL-NBA,3,708,Kevin Garnett,0.224
1999,ALL-NBA,3,686,Antonio McDyess,0.136
1999,ALL-NBA,3,977,Kobe Bryant,0.127
1999,ALL-NBA,3,304,John Stockton,0.127
1999,ALL-NBA,3,165,Hakeem Olajuwon,0.114
1999,ALL-NBA,1000,120,Steve Smith,0.107
1999,ALL-NBA,1000,397,Reggie Miller,0.097
1999,ALL-NBA,1000,950,Stephon Marbury,0.092
1999,ALL-NBA,1000,358,Anfernee Hardaway,0.069
1999,ALL-NBA,1000,949,Shareef Abdur-Rahim,0.061
1999,ALL-NBA,1000,87,Dikembe Mutombo,0.056
1999,ALL-NBA,1000,431,Shawn Kemp,0.051
1999,ALL-NBA,1000,764,David Robinson,0.037
1999,ALL-NBA,1000,393,Rod Strickland,0.036
1999,ALL-NBA,1000,951,Ray Allen,0.027
1999,ALL-NBA,1000,714,Michael Finley,0.027
1999,ALL-NBA,1000,787,Charles Barkley,0.024
1999,ALL-NBA,1000,353,Darrell Armstrong,0.02
1999,ALL-NBA,1000,124,Vlade Divac,0.019
1999,ALL-NBA,1000,1713,Vince Carter,0.017
1999,ALL-NBA,1000,258,Brian Grant,0.017
1999,ALL-NBA,1000,757,Damon Stoudamire,0.017
1999,ALL-NBA,1000,224,Eddie Jones,0.015
1999,ALL-NBA,1000,349,Mark Jackson,0.012
1999,ALL-NBA,1000,782,Mitch Richmond,0.012
1999,ALL-NBA,1000,299,Glenn Robinson,0.008
1999,ALL-NBA,1000,1496,Keith Van Horn,0.008
1999,ALL-NBA,1000,717,Arvydas Sabonis,0.007
1999,ALL-NBA,1000,422,Avery Johnson,0.003
1999,ALL-NBA,1000,935,Bryon Russell,0.003
1999,ALL-NBA,1000,739,Rasheed Wallace,0.003
1999,ALL-NBA,1000,1715,Jason Williams,0.003
1999,ALL-NBA,1000,339,Tom Gugliotta,0.002
1999,ALL-NBA,1000,937,Scottie Pippen,0.002
1999,ALL-NBA,1000,375,Isaiah Rider,0.002
1999,ALL-NBA,1000,22,Rik Smits,0.002
