YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2000,ALL-ROOKIE,1,1882,Elton Brand,1.0
2000,ALL-ROOKIE,1,1883,Steve Francis,1.0
2000,ALL-ROOKIE,1,1885,Lamar Odom,0.982
2000,ALL-ROOKIE,1,1887,Wally Szczerbiak,0.911
2000,ALL-ROOKIE,1,1889,Andre Miller,0.875
2000,ALL-ROOKIE,2,1890,Shawn Marion,0.607
2000,ALL-ROOKIE,2,1897,Metta World Peace,0.5
2000,ALL-ROOKIE,2,1899,James Posey,0.411
2000,ALL-ROOKIE,2,1891,Jason Terry,0.268
2000,ALL-ROOKIE,2,1088,Chucky Atkins,0.232
2000,ALL-ROOKIE,1000,1903,Kenny Thomas,0.214
2000,ALL-ROOKIE,1000,1884,Baron Davis,0.161
2000,ALL-ROOKIE,1000,1888,Richard Hamilton,0.143
2000,ALL-ROOKIE,1000,1559,Adrian Griffin,0.107
2000,ALL-ROOKIE,1000,1907,Vonteego Cummings,0.107
2000,ALL-ROOKIE,1000,1944,Eddie Robinson,0.089
2000,ALL-ROOKIE,1000,1894,Corey Maggette,0.071
2000,ALL-ROOKIE,1000,1853,Anthony Carter,0.071
2000,ALL-ROOKIE,1000,1928,Todd MacCulloch,0.018
