YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2013,ALL-NBA,1,2544,LeBron James,1.0
2013,ALL-NBA,1,201142,Kevin Durant,0.933
2013,ALL-NBA,1,101108,Chris Paul,0.903
2013,ALL-NBA,1,977,Kobe Bryant,0.876
2013,ALL-NBA,1,1495,Tim Duncan,0.659
2013,ALL-NBA,2,2546,Carmelo Anthony,0.667
2013,ALL-NBA,2,201566,Russell Westbrook,0.514
2013,ALL-NBA,2,201188,Marc Gasol,0.496
2013,ALL-NBA,2,2225,Tony Parker,0.459
2013,ALL-NBA,2,201933,Blake Griffin,0.222
2013,ALL-NBA,3,201935,James Harden,0.425
2013,ALL-NBA,3,2730,Dwight Howard,0.341
2013,ALL-NBA,3,2548,Dwyane Wade,0.244
2013,ALL-NBA,3,101135,David Lee,0.133
2013,ALL-NBA,3,202331,Paul George,0.123
2013,ALL-NBA,1000,201572,Brook Lopez,0.222
2013,ALL-NBA,1000,201939,Stephen Curry,0.121
2013,ALL-NBA,1000,200746,LaMarcus Aldridge,0.104
2013,ALL-NBA,1000,2547,Chris Bosh,0.099
2013,ALL-NBA,1000,201149,Joakim Noah,0.094
2013,ALL-NBA,1000,2216,Zach Randolph,0.076
2013,ALL-NBA,1000,201143,Al Horford,0.052
2013,ALL-NBA,1000,1718,Paul Pierce,0.04
2013,ALL-NBA,1000,2744,Al Jefferson,0.034
2013,ALL-NBA,1000,2199,Tyson Chandler,0.032
2013,ALL-NBA,1000,201579,Roy Hibbert,0.015
2013,ALL-NBA,1000,2736,Luol Deng,0.013
2013,ALL-NBA,1000,708,Kevin Garnett,0.013
2013,ALL-NBA,1000,201951,Ty Lawson,0.013
2013,ALL-NBA,1000,2746,Josh Smith,0.012
2013,ALL-NBA,1000,101114,Deron Williams,0.01
2013,ALL-NBA,1000,2200,Pau Gasol,0.007
2013,ALL-NBA,1000,201586,Serge Ibaka,0.007
2013,ALL-NBA,1000,201600,Ömer Aşık,0.005
2013,ALL-NBA,1000,202702,Kenneth Faried,0.005
2013,ALL-NBA,1000,101109,Raymond Felton,0.005
2013,ALL-NBA,1000,202681,Kyrie Irving,0.005
2013,ALL-NBA,1000,2430,Carlos Boozer,0.003
2013,ALL-NBA,1000,201144,Mike Conley,0.003
2013,ALL-NBA,1000,2561,David West,0.003
2013,ALL-NBA,1000,200752,Rudy Gay,0.002
2013,ALL-NBA,1000,201581,J.J. Hickson,0.002
2013,ALL-NBA,1000,2738,Andre Iguodala,0.002
2013,ALL-NBA,1000,1717,Dirk Nowitzki,0.002
2013,ALL-NBA,1000,201593,Nikola Peković,0.002
2013,ALL-NBA,1000,200765,Rajon Rondo,0.002
2013,ALL-NBA,1000,202696,Nikola Vučević,0.002
