YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2017,ALL-NBA,1st,201935,James Harden,1.0
2017,ALL-NBA,1st,2544,LeBron James,0.996
2017,ALL-NBA,1st,201566,Russell Westbrook,0.996
2017,ALL-NBA,1st,202695,Kawhi Leonard,0.98
2017,ALL-NBA,1st,203076,Anthony Davis,0.686
2017,ALL-NBA,2nd,203497,Rudy Gobert,0.678
2017,ALL-NBA,2nd,201939,Stephen Curry,0.58
2017,ALL-NBA,2nd,203507,Giannis Antetokounmpo,0.516
2017,ALL-NBA,2nd,201142,Kevin Durant,0.478
2017,ALL-NBA,2nd,202738,Isaiah Thomas,0.472
2017,ALL-NBA,3rd,203110,Draymond Green,0.268
2017,ALL-NBA,3rd,202322,John Wall,0.25
2017,ALL-NBA,3rd,202710,Jimmy Butler,0.204
2017,ALL-NBA,3rd,201942,DeMar DeRozan,0.124
2017,ALL-NBA,3rd,201599,DeAndre Jordan,0.108
2017,ALL-NBA,ORV,1626157,Karl-Anthony Towns,0.1
2017,ALL-NBA,ORV,101108,Chris Paul,0.098
2017,ALL-NBA,ORV,201188,Marc Gasol,0.096
2017,ALL-NBA,ORV,202326,DeMarcus Cousins,0.084
2017,ALL-NBA,ORV,202331,Paul George,0.08
2017,ALL-NBA,ORV,202330,Gordon Hayward,0.054
2017,ALL-NBA,ORV,202355,Hassan Whiteside,0.036
2017,ALL-NBA,ORV,202681,Kyrie Irving,0.028
2017,ALL-NBA,ORV,202691,Klay Thompson,0.028
2017,ALL-NBA,ORV,203999,Nikola Jokić,0.024
2017,ALL-NBA,ORV,203081,Damian Lillard,0.024
2017,ALL-NBA,ORV,200794,Paul Millsap,0.006
2017,ALL-NBA,ORV,200746,LaMarcus Aldridge,0.002
2017,ALL-NBA,ORV,201933,Blake Griffin,0.002
2017,ALL-NBA,ORV,201143,Al Horford,0.002
