YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
1995,ALL-ROOKIE,1st,467,Jason Kidd,1.0
1995,ALL-ROOKIE,1st,255,Grant Hill,0.981
1995,ALL-ROOKIE,1st,299,Glenn Robinson,0.962
1995,ALL-ROOKIE,1st,224,Eddie Jones,0.865
1995,ALL-ROOKIE,1st,258,Brian Grant,0.808
1995,ALL-ROOKIE,2nd,436,Juwan Howard,0.731
1995,ALL-ROOKIE,2nd,376,Eric Montross,0.596
1995,ALL-ROOKIE,2nd,445,Wesley Person,0.462
1995,ALL-ROOKIE,2nd,147,Jalen Rose,0.308
1995,ALL-ROOKIE,2nd,412,Sharone Wright,0.269
1995,ALL-ROOKIE,ORV,441,Lamond Murray,0.25
1995,ALL-ROOKIE,ORV,234,Khalid Reeves,0.173
1995,ALL-ROOKIE,ORV,63,Michael Smith,0.115
